folder,total_energy_waste,total_waiting_time
300,7919918443.0,59493.17
600,8396795736.0,36159.225
900,8276493111.0,35589.415
1200,8570625618.0,27080.885
1500,9080703735.0,21012.17
1800,9504263542.0,19354.925
2100,9718621799.0,18410.205
2400,9885322448.0,16008.115
2700,10139033721.0,14772.005
3000,10489008050.0,13906.425
3300,10625902338.0,12952.78
3600,10839940050.0,12748.8
mymethod_300,7901699526.0,56902.24
mymethod_600,8309834032.0,39097.97
mymethod_900,8319796318.0,32254.95
mymethod_1200,8473740103.0,26627.28
mymethod_1500,8785983060.0,26544.075
mymethod_1800,8994918913.0,20714.865
mymethod_2100,9286630599.0,18750.115
mymethod_2400,9482872008.0,17941.22
mymethod_2700,9751142468.0,17322.2
mymethod_3000,9970582435.0,15279.615
mymethod_3300,10065838892.0,14454.34
mymethod_3600,10186594926.0,14703.235
